Text,Polarity,Sentiment
"Hey Prajakta, what is the error message you are getting?",0.0,0
" @skillcate  Sir, I m getting error in Model fitting for classifier.fit(features, label). Error is: not supported between instances of 'str' and 'float'.

I divided the dataset in train and test and used the train dataset as parameter in classifier.fit()",0.5,1
 @prajacta7444  You possibly are using a different dataset and have conflicting str and float datatypes being used. Could you please try converting features and labels to str datatype before calling the fit function?,0.13333333333333333,1
"Hi Hashir, for your information we have recently launched couple of new project, one on: Age, Gender & Emotion Detection (youtu.be/uovo1s1barU) and second on: Credit Scoring (youtu.be/8jzvzRo3Ij0&t)..😊

Do like, share & subscribe to us. This helps us in reaching out to more learners like yourself!!!",0.27823153409090906,1
" @skillcate  can you please make sentiment analysis on 3 sentiments (positive, neutral and negative)",-0.03636363636363636,0
 @hashirsheikh8386  Sure. We will soon be doing a separate project on it. 🙂,0.5,1
 @skillcate  thankyou sir I'm waiting for it 🙂,0.0,0
My clg gave me a project on sentimental analysis of restaurant reviews .can you help me for this..,-0.25,0
what about Neutral reviews ? 😁,0.0,0
where is the link to the data set,0.0,0
Please I need proposal on sentiment analysis system to be submitting coming Monday,0.0,0
How can I link it with node JS backend,0.0,0
hello sir can you help me please!,0.0,0
Can we run this on Jupyter notebook?,0.0,0
i can't run in saving bow path,0.0,0
i have a small project can any one help plz,-0.25,0
"I am getting error as :  input contain NaN
when : 
 after running,
'from sklearn.naive_bayes import GaussianNB
classifier=GaussianNB()
classifier.fit(X_train,y_train)'

my data does not contain any Nan values though, can u please help?",0.0,0
"for i in range (0,899):
    review = re.sub('[^a-zA-Z]',' ', data['Review'][i])
    review = review.lower()
    review = review.split()
    review = [ps.stem(word) for word in review if not word in set (all_stopwords)]
    review = ' '.join(review)
    corpus.append(review)


when i run the above this code on jupyter notebook it is showing keyerror",0.0,0
"Dear Paidimarri, thank you for your comment & apologies for the delay in response. You can reach out to us at skillcate@gmail.com with the details on your requirements. Happy to help :-)",0.65,1
"Well seriously, who are these people writing neutral reviews :p. Jokes apart, recently I did Sentiment Analysis on Live Tweets. This project has three label: + - ~ (link: youtu.be/YdRTs0LmiuU)

I have done few more Sentiment Analysis Projects: one, on Movie Reviews with Neural Network (youtu.be/oWo9SNcyxlI) and second, on Amazon Reviews with Sklearn Pipeline (youtu.be/lKAdxN0qrgk) - where you shall get multi-label classification flavour.

This current project is basically on Binary Classification. However, you may define 3 (+ - ~) labels, by using a training dataset that has multi-labels (ex: rating on a scale 1-5). R

Happy learning :)",0.1558922558922559,1
 @skillcate  Thanks a lot :),0.35,1
" @skillcate  Hey! In the Live Twitter sentiment analysis project, would it work for other languages also ? like ""Sinhala"" which is the mother language in Sri Lanka 😂",0.005681818181818177,1
" @rusiraliyanage6643  Yes sure you can. For this you may use TextBlob Translate Method to first translate the 'Sinhala' tweets to English, and then feed them to NLTK Vader (Vader is not multi-lingual, handles only English for now). Sharing the script here to translate:

from textblob import TextBlob as TB
tweet = 'ඉන්දියාවේ සිට ආයුබෝවන්'
translated_tweet = TB(tweet).translate(from_lang=u'si', to=u'en')
translated_tweet.sentiment",0.15,1
"And with this script, you may call Vader on the translated tweet:

SentimentIntensityAnalyzer().polarity_scores(str(translated_tweet))",0.0,0
 @skillcate  Thank you so much :),0.35,1
"Google Drive Link is provided in the description part, Edwin!!",0.0,0
"Dear Mohammed, , thank you for your comment & apologies for the delay in response. You can reach out to us at skillcate@gmail.com with the details on your requirements. Happy to help :-)",0.65,1
"Dear Emran, that's an excellent query!!

We have recently done a ML Project, where we have deployed Model Serialized .pkl file using Flask. Suggest you to go through it to have further clarity on Deployment side. 

Hope this helps. Keep learning :-)",0.375,1
"Hi Aaisha, I assume by Jupyter notebook, you mean on Jupiter notebook in your local machine. Then, answer is yes. If your machine doesn't have gpu, it may just  take longer to train.",-0.15625,0
"hey faridz, double check if you set your working directory correctly.",0.0,0
"HI Siddu, for sure we can! You can write to us at skillcate@gmail.com with the details on your requirements. Happy to help :-)",0.6416666666666667,1
"Dear Viraj, sorry to hear that! Can you confirm if you are running this project in Google Colab or local machine?

Also, are you using the same dataset from the toolkit or some different?

Will get your issue resolved at the earliest possible..",-0.125,0
"Dear Harsh, try using this snippet instead:

for i in range(0, 900):
  review = re.sub('[^a-zA-Z]', ' ', dataset['Review'][i])
  review = review.lower()
  review = review.split()
  review = [ps.stem(word) for word in review if not word in set(all_stopwords)]
  review = ' '.join(review)
  corpus.append(review)",-0.2,0
